PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Timestamp (hyperspectral technologies only),StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,NumberOfEmissionSourcesReported
1496-5-125-472-671-184,1,1,2021-10-22,19:32:22,N/A,N/A,N/A,Methane,N/A,487,695,280,,1.55,N/A,N/A,1
1496-5-126-448-647-185,1,1,2021-10-22,19:36:55,N/A,N/A,N/A,Methane,N/A,501,720,281,,1.36,N/A,N/A,1
1496-5-127-274-473-186,1,1,2021-10-22,19:40:32,N/A,N/A,N/A,Methane,N/A,766,1090,443,,1.23,N/A,N/A,1
1496-5-128-723-922-187,1,1,2021-10-22,19:44:54,N/A,N/A,N/A,Methane,N/A,526,738,313,,1.65,N/A,N/A,1
1496-5-129-525-724-188,1,1,2021-10-22,19:49:17,N/A,N/A,N/A,Methane,N/A,770,1080,459,,1.33,N/A,N/A,1
1496-5-130-535-734-189,1,1,2021-10-22,19:54:03,N/A,N/A,N/A,Methane,N/A,590,806,374,,1.35,N/A,N/A,1
1496-5-131-724-923-190,1,1,2021-10-22,19:57:57,N/A,N/A,N/A,Methane,N/A,856,1176,537,,2.32,N/A,N/A,1
1496-5-132-547-746-191,1,1,2021-10-22,20:02:46,N/A,N/A,N/A,Methane,N/A,573,778,368,,1.88,N/A,N/A,1
1496-5-133-166-365-192,1,1,2021-10-22,20:06:47,N/A,N/A,N/A,Methane,N/A,225,328,122,,0.94,N/A,N/A,1
1496-5-134-520-719-193,1,1,2021-10-22,20:11:21,N/A,N/A,N/A,Methane,N/A,188,331,46,,0.42,N/A,N/A,1
1496-5-135-703-902-194,1,1,2021-10-22,20:15:22,N/A,N/A,N/A,Methane,N/A,250,363,137,,0.93,N/A,N/A,1
1496-5-136-894-1093-195,1,1,2021-10-22,20:20:06,N/A,N/A,N/A,Methane,N/A,357,492,222,,3.37,N/A,N/A,1
1496-5-137-876-1075-196,1,1,2021-10-22,20:23:56,N/A,N/A,N/A,Methane,N/A,214,302,125,,1.43,N/A,N/A,1
1496-5-138-792-991-197,1,1,2021-10-22,20:28:41,N/A,N/A,N/A,Methane,N/A,790,1092,488,,2.44,N/A,N/A,1
1496-5-139-303-502-198,1,1,2021-10-22,20:32:29,N/A,N/A,N/A,Methane,N/A,438,587,288,,3.22,N/A,N/A,1
1496-5-140-386-585-199,1,1,2021-10-22,20:37:23,N/A,N/A,N/A,Methane,N/A,443,631,256,,1.75,N/A,N/A,1
1496-5-141-739-938-200,1,1,2021-10-22,20:41:09,N/A,N/A,N/A,Methane,N/A,582,876,288,,1.52,N/A,N/A,1
1496-5-142-727-962-201,N/A,N/A,2021-10-22,20:44:43,N/A,N/A,N/A,Methane,N/A,477,659,296,,2.43,N/A,N/A,1
1496-5-143-452-651-202,1,1,2021-10-22,20:49:14,N/A,N/A,N/A,Methane,N/A,381,518,243,,3.29,N/A,N/A,1
1496-5-144-515-714-203,1,1,2021-10-22,20:53:43,N/A,N/A,N/A,Methane,N/A,462,616,308,,3.22,N/A,N/A,1
